name,original_id,p0010001_2020,p0010002_2020,p0010003_2020,p0010004_2020,p0010005_2020,p0010006_2020,p0010007_2020,p0010008_2020,p0010009_2020,p0010010_2020,p0010011_2020,p0010012_2020,p0010013_2020,p0010014_2020,p0010015_2020,p0010016_2020,p0010017_2020,p0010018_2020,p0010019_2020,p0010020_2020,p0010021_2020,p0010022_2020,p0010023_2020,p0010024_2020,p0010025_2020,p0010026_2020,p0010027_2020,p0010028_2020,p0010029_2020,p0010030_2020,p0010031_2020,p0010032_2020,p0010033_2020,p0010034_2020,p0010035_2020,p0010036_2020,p0010037_2020,p0010038_2020,p0010039_2020,p0010040_2020,p0010041_2020,p0010042_2020,p0010043_2020,p0010044_2020,p0010045_2020,p0010046_2020,p0010047_2020,p0010048_2020,p0010049_2020,p0010050_2020,p0010051_2020,p0010052_2020,p0010053_2020,p0010054_2020,p0010055_2020,p0010056_2020,p0010057_2020,p0010058_2020,p0010059_2020,p0010060_2020,p0010061_2020,p0010062_2020,p0010063_2020,p0010064_2020,p0010065_2020,p0010066_2020,p0010067_2020,p0010068_2020,p0010069_2020,p0010070_2020,p0010071_2020,p0010001_2010,p0010002_2010,p0010003_2010,p0010004_2010,p0010005_2010,p0010006_2010,p0010007_2010,p0010008_2010,p0010009_2010,p0010010_2010,p0010011_2010,p0010012_2010,p0010013_2010,p0010014_2010,p0010015_2010,p0010016_2010,p0010017_2010,p0010018_2010,p0010019_2010,p0010020_2010,p0010021_2010,p0010022_2010,p0010023_2010,p0010024_2010,p0010025_2010,p0010026_2010,p0010027_2010,p0010028_2010,p0010029_2010,p0010030_2010,p0010031_2010,p0010032_2010,p0010033_2010,p0010034_2010,p0010035_2010,p0010036_2010,p0010037_2010,p0010038_2010,p0010039_2010,p0010040_2010,p0010041_2010,p0010042_2010,p0010043_2010,p0010044_2010,p0010045_2010,p0010046_2010,p0010047_2010,p0010048_2010,p0010049_2010,p0010050_2010,p0010051_2010,p0010052_2010,p0010053_2010,p0010054_2010,p0010055_2010,p0010056_2010,p0010057_2010,p0010058_2010,p0010059_2010,p0010060_2010,p0010061_2010,p0010062_2010,p0010063_2010,p0010064_2010,p0010065_2010,p0010066_2010,p0010067_2010,p0010068_2010,p0010069_2010,p0010070_2010,p0010071_2010,p0010001_change,p0010002_change,p0010003_change,p0010004_change,p0010005_change,p0010006_change,p0010007_change,p0010008_change,p0010009_change,p0010010_change,p0010011_change,p0010012_change,p0010013_change,p0010014_change,p0010015_change,p0010016_change,p0010017_change,p0010018_change,p0010019_change,p0010020_change,p0010021_change,p0010022_change,p0010023_change,p0010024_change,p0010025_change,p0010026_change,p0010027_change,p0010028_change,p0010029_change,p0010030_change,p0010031_change,p0010032_change,p0010033_change,p0010034_change,p0010035_change,p0010036_change,p0010037_change,p0010038_change,p0010039_change,p0010040_change,p0010041_change,p0010042_change,p0010043_change,p0010044_change,p0010045_change,p0010046_change,p0010047_change,p0010048_change,p0010049_change,p0010050_change,p0010051_change,p0010052_change,p0010053_change,p0010054_change,p0010055_change,p0010056_change,p0010057_change,p0010058_change,p0010059_change,p0010060_change,p0010061_change,p0010062_change,p0010063_change,p0010064_change,p0010065_change,p0010066_change,p0010067_change,p0010068_change,p0010069_change,p0010070_change,p0010071_change
"Congress Heights, Bellevue, Washington Highlands",Cluster 39,30607,29470,421,28439,111,90,4,405,1137,986,357,28,18,6,74,226,50,9,186,4,0,17,5,6,0,137,74,1,2,23,0,0,12,5,5,1,5,2,1,2,3,0,0,0,1,0,13,3,3,6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,27989,27574,305,27065,57,48,5,94,415,324,110,4,6,0,10,99,37,8,39,1,0,0,0,9,1,81,54,17,1,1,0,0,0,2,0,0,1,2,2,0,1,0,0,0,0,0,10,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09353674657901319,0.06876042648872126,0.380327868852459,0.05076667282468132,0.9473684210526315,0.875,-0.2,3.3085106382978724,1.7397590361445783,2.04320987654321,2.2454545454545456,6.0,2.0,,6.4,1.2828282828282829,0.35135135135135137,0.125,3.769230769230769,3.0,,,,-0.3333333333333333,-1.0,0.691358024691358,0.37037037037037035,-0.9411764705882353,1.0,22.0,,,,1.5,,,4.0,0.0,-0.5,,2.0,,,,,,0.3,-0.625,,,,0.0,,,,,,,,,-1.0,,,,,,,,,,
"Douglas, Shipley Terrace",Cluster 38,12750,12355,150,11988,35,38,3,141,395,323,122,10,6,0,23,70,18,2,65,0,0,3,2,2,0,66,25,9,0,10,3,0,6,4,2,0,3,0,1,1,0,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,11919,11770,86,11608,11,24,1,40,149,119,30,0,2,0,4,55,16,2,10,0,0,0,0,0,0,28,18,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069720614145482,0.04970263381478335,0.7441860465116279,0.03273604410751206,2.1818181818181817,0.5833333333333334,2.0,2.525,1.651006711409396,1.7142857142857142,3.066666666666667,,2.0,,4.75,0.2727272727272727,0.125,0.0,5.5,,,,,,,1.3571428571428572,0.3888888888888889,8.0,,,,,,,,,,,,,-1.0,,,,,,0.5,-1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,7551,7322,93,7140,15,16,1,57,229,189,83,3,5,0,8,44,4,2,36,0,0,4,0,0,0,38,32,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7572,7457,75,7338,11,12,0,21,115,102,27,0,0,0,1,37,20,4,13,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0027733755942947703,-0.018103795091859998,0.24,-0.02698282910874898,0.36363636363636365,0.3333333333333333,,1.7142857142857142,0.991304347826087,0.8529411764705882,2.074074074074074,,,,7.0,0.1891891891891892,-0.8,-0.5,1.7692307692307692,,,,,,,2.1666666666666665,1.9090909090909092,,,,,,,,,,-1.0,,,,,,,,,,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,
"Near Southeast, Navy Yard",Cluster 27,11034,10152,7448,1882,36,578,11,197,882,812,106,52,195,10,371,21,17,2,19,1,0,8,6,3,1,59,10,8,0,14,3,0,12,4,4,0,0,1,3,0,0,0,0,0,0,0,11,0,0,4,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2794,2709,1670,862,4,144,0,29,85,78,19,11,20,1,10,4,5,1,4,0,0,0,3,0,0,7,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.949176807444524,2.7475083056478407,3.4598802395209582,1.1832946635730859,8.0,3.013888888888889,,5.793103448275862,9.376470588235295,9.41025641025641,4.578947368421052,3.727272727272727,8.75,9.0,36.1,4.25,2.4,1.0,3.75,,,,1.0,,,7.428571428571429,1.0,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,13545,13017,338,12112,95,41,12,419,528,455,127,28,7,2,54,131,22,1,74,0,0,4,5,0,0,68,40,4,0,9,0,0,5,0,1,1,3,1,2,0,1,0,0,0,1,0,4,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12436,12223,101,11994,26,14,4,84,213,170,33,3,8,1,7,69,14,5,26,0,0,1,3,0,0,40,26,2,0,1,0,0,0,0,0,5,4,0,2,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08917658411064651,0.06495950257710872,2.3465346534653464,0.009838252459563115,2.6538461538461537,1.9285714285714286,2.0,3.988095238095238,1.4788732394366197,1.6764705882352942,2.8484848484848486,8.333333333333334,-0.125,1.0,6.714285714285714,0.8985507246376812,0.5714285714285714,-0.8,1.8461538461538463,,,3.0,0.6666666666666666,,,0.7,0.5384615384615384,1.0,,8.0,,,,,,-0.8,-0.25,,0.0,,,,,,,,0.3333333333333333,0.0,,,-1.0,,,,,,,,,,,,,,,,,,,,
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Cluster 8,22117,20206,11472,5268,87,2638,17,724,1911,1745,180,100,359,5,889,72,24,7,76,9,0,10,2,11,1,130,32,10,1,26,3,0,30,9,6,0,2,1,4,0,4,1,0,0,0,1,32,3,0,21,1,6,0,0,1,0,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,17153,16685,8183,5596,47,2073,16,770,468,431,100,40,120,0,58,35,16,5,20,3,0,6,8,18,2,35,21,6,0,1,0,0,0,2,1,0,2,0,0,0,1,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2893954410307235,0.21102786934372192,0.40193083221312476,-0.058613295210864905,0.851063829787234,0.2725518572117704,0.0625,-0.05974025974025974,3.0833333333333335,3.0487238979118327,0.8,1.5,1.9916666666666667,,14.327586206896552,1.0571428571428572,0.5,0.4,2.8,2.0,,0.6666666666666666,-0.75,-0.3888888888888889,-0.5,2.7142857142857144,0.5238095238095238,0.6666666666666666,,25.0,,,,3.5,5.0,,0.0,,,,3.0,,,,-1.0,,15.0,,,20.0,,5.0,,,,,,,,,,,,,,,,,,,
"West End, Foggy Bottom, GWU",Cluster 5,18796,17306,12368,1257,53,3071,20,537,1490,1407,158,51,378,9,711,15,19,5,41,4,0,8,6,2,0,78,14,10,0,21,0,0,14,7,2,1,3,0,1,1,1,3,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16801,16242,13270,902,22,1858,3,187,559,492,105,30,198,7,28,4,89,3,2,2,1,2,4,17,0,41,32,5,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0.11874293196833521,0.06550917374707549,-0.06797287113790505,0.39356984478935697,1.4090909090909092,0.6528525296017222,5.666666666666667,1.8716577540106951,1.665474060822898,1.8597560975609757,0.5047619047619047,0.7,0.9090909090909091,0.2857142857142857,24.392857142857142,2.75,-0.7865168539325843,0.6666666666666666,19.5,1.0,-1.0,3.0,0.5,-0.8823529411764706,,0.9024390243902439,-0.5625,1.0,,,,,,6.0,1.0,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,,,,,,,
"Mayfair, Hillbrook, Mahaning Heights",Cluster 30,9068,8685,207,8172,15,50,4,237,383,316,107,6,5,0,40,52,25,3,69,1,1,4,3,0,0,53,28,2,0,6,2,0,1,0,2,8,0,0,1,3,0,0,0,0,0,0,12,1,0,9,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,6915,6794,62,6613,25,10,0,84,121,101,38,2,1,1,7,30,10,4,7,0,0,1,0,0,0,19,13,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311352133044107,0.2783338239623197,2.338709677419355,0.23574776954483592,-0.4,4.0,,1.8214285714285714,2.165289256198347,2.128712871287129,1.8157894736842106,2.0,4.0,-1.0,4.714285714285714,0.7333333333333333,1.5,-0.25,8.857142857142858,,,3.0,,,,1.7894736842105263,1.1538461538461537,1.0,,5.0,,,,,,,,,0.0,,-1.0,,,,,,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Cluster 31,14484,13941,340,12998,80,59,5,459,543,478,131,10,6,6,77,126,30,2,77,2,0,4,0,6,1,61,34,12,0,2,1,0,2,4,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12801,12613,152,12236,34,24,1,166,188,147,33,0,2,0,8,57,19,8,17,1,0,2,0,0,0,35,26,0,0,1,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13147410358565736,0.10528819471973361,1.236842105263158,0.06227525335076822,1.3529411764705883,1.4583333333333333,4.0,1.7650602409638554,1.8882978723404256,2.251700680272109,2.9696969696969697,,2.0,,8.625,1.2105263157894737,0.5789473684210527,-0.75,3.5294117647058822,1.0,,1.0,,,,0.7428571428571429,0.3076923076923077,,,1.0,,,,,,,-1.0,-1.0,0.0,0.0,,,,,,,-0.8333333333333334,-1.0,,,,-1.0,,,,,,,,,,,,,,,,,,,
"Shaw, Logan Circle",Cluster 7,21090,19281,11096,5026,117,1600,12,1430,1809,1666,149,75,324,7,931,43,23,5,64,1,1,25,3,15,0,121,34,15,1,13,5,0,28,3,13,0,1,1,5,0,1,1,0,0,0,0,21,6,0,7,0,2,0,0,2,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18714,18102,9520,5957,93,1161,28,1343,612,545,118,39,172,4,97,39,24,1,18,4,0,6,9,12,2,61,26,12,1,0,1,0,2,2,6,0,9,0,2,0,0,0,0,0,0,0,5,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.12696377043924334,0.06513092475969506,0.16554621848739495,-0.1562867215041128,0.25806451612903225,0.3781223083548665,-0.5714285714285714,0.06478034251675353,1.9558823529411764,2.056880733944954,0.2627118644067797,0.9230769230769231,0.8837209302325582,0.75,8.597938144329897,0.10256410256410256,-0.041666666666666664,4.0,2.5555555555555554,-0.75,,3.1666666666666665,-0.6666666666666666,0.25,-1.0,0.9836065573770492,0.3076923076923077,0.25,0.0,,4.0,,13.0,0.5,1.1666666666666667,,-0.8888888888888888,,1.5,,,,,,,,3.2,5.0,,1.3333333333333333,,1.0,,,,,,,,,,,0.0,0.0,,,,,,,
